true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter
3.4,1.45,1.409,0.237,6.031,8.924
3.4,1.471,1.402,0.304,6.261,8.993
3.4,1.507,1.365,0.423,5.434,8.673
3.4,1.438,1.296,0.432,5.215,8.406
3.4,1.475,1.454,0.17,6.039,8.996
3.4,1.494,1.399,0.35,6.185,9.003
3.4,1.438,1.369,0.305,5.735,8.722
3.5,1.469,1.307,0.457,5.455,8.558
3.5,1.505,1.373,0.409,6.076,8.921
3.5,1.509,1.431,0.317,6.14,9.023
3.5,1.472,1.281,0.492,5.494,8.523
3.5,1.46,1.339,0.399,5.702,8.703
3.5,1.506,1.339,0.457,5.786,8.8
3.5,1.48,1.381,0.36,6.005,8.898
3.5,1.509,1.365,0.427,5.801,8.842
3.5,1.5,1.367,0.411,6.008,8.87
3.5,1.47,1.355,0.388,5.719,8.738
3.6,1.517,1.256,0.561,5.514,8.568
3.6,1.553,1.278,0.568,5.534,8.709
3.6,1.49,1.453,0.223,6.151,9.052
3.6,1.492,1.473,0.157,6.342,9.141
3.6,1.443,1.417,0.189,5.917,8.851
3.6,1.475,1.463,0.131,5.92,8.94
3.6,1.469,1.439,0.199,6.201,9.031
3.6,1.489,1.415,0.311,6.098,8.97
3.6,1.486,1.412,0.312,6.173,9.037
3.6,1.441,1.317,0.406,5.425,8.588
3.7,1.506,1.428,0.318,6.203,9.042
3.7,1.454,1.349,0.373,5.6,8.652
3.7,1.492,1.326,0.459,5.812,8.756
3.7,1.467,1.424,0.24,5.81,8.9
3.7,1.474,1.398,0.316,6.001,8.893
3.7,1.451,1.272,0.481,5.42,8.533
3.7,1.44,1.37,0.307,5.858,8.771
3.7,1.471,1.386,0.336,5.958,8.856
3.7,1.484,1.398,0.335,5.826,8.812
3.7,1.484,1.371,0.382,5.937,8.854
3.8,1.448,1.388,0.284,5.7,8.75
3.8,1.521,1.352,0.458,5.457,8.645
3.8,1.479,1.443,0.219,6.132,9.013
3.8,1.454,1.361,0.352,5.768,8.736
3.8,1.44,1.381,0.282,5.68,8.719
3.8,1.524,1.249,0.573,5.362,8.544
3.8,2.155,1.519,0.709,8.312,10.954
3.8,1.439,1.386,0.269,5.759,8.729
3.8,1.457,1.405,0.266,6.009,8.916
3.8,1.484,1.472,0.124,6.029,9.018
3.9,1.478,1.422,0.271,6.005,8.937
3.9,1.52,1.374,0.427,5.854,8.887
3.9,1.441,1.387,0.271,5.864,8.8
