true_angle,semi_major_axis,semi_minor_axis,eccentricity,convex_hull_area,convex_hull_perimeter,eccentricity_ratio,aspect_ratio,theta
0.6,1.348,1.197,0.459,4.003,7.542,1.125,1.027,0.85
0.6,1.337,1.087,0.582,3.865,7.354,0.813,1.053,0.12
0.6,1.363,1.234,0.424,4.657,7.929,1.104,0.892,0.127
0.6,1.338,1.147,0.515,4.315,7.635,1.167,1.038,2.53
0.6,1.259,1.186,0.334,4.353,7.599,1.061,0.926,-2.228
0.6,1.321,1.28,0.247,4.486,7.886,1.032,1.039,0.096
0.6,1.29,1.143,0.464,4.231,7.521,1.129,0.876,0.252
0.6,1.237,1.105,0.449,3.814,7.178,0.894,1.126,-0.599
0.6,1.271,1.179,0.373,4.155,7.53,0.928,0.982,2.522
0.6,1.27,1.236,0.228,4.208,7.668,1.027,0.97,-0.636
0.6,1.362,1.085,0.605,4.09,7.549,1.255,0.803,0.416
0.6,1.326,1.155,0.492,4.219,7.572,0.871,1.016,3.561
0.6,1.35,1.118,0.56,4.267,7.627,0.829,1.098,-0.558
0.6,1.466,1.031,0.711,3.802,7.331,1.422,0.88,0.11
0.6,1.348,1.176,0.489,4.342,7.749,0.872,1.123,0.028
0.6,1.372,1.11,0.587,4.296,7.654,0.809,1.198,-0.006
0.6,1.311,1.161,0.465,4.08,7.499,0.885,1.002,-3.898
0.6,1.289,1.224,0.314,4.318,7.698,0.949,1.064,0.879
0.6,1.333,1.148,0.508,4.025,7.493,0.861,1.077,0.929
0.6,1.299,1.229,0.324,4.76,7.883,1.057,0.938,0.326
0.6,1.299,1.214,0.355,4.506,7.723,1.07,0.977,-0.525
0.6,1.277,1.23,0.269,3.986,7.548,0.963,1.001,3.369
0.6,1.311,1.219,0.367,4.304,7.653,0.93,1.063,0.313
0.6,1.305,1.205,0.383,4.348,7.686,1.083,0.944,-0.641
0.6,1.258,1.208,0.279,4.147,7.572,0.96,1.024,-0.076
0.6,1.328,1.142,0.51,3.868,7.392,0.86,1.134,0.235
0.6,1.272,1.003,0.615,3.336,7.015,0.789,0.965,-2.1
0.6,1.309,1.121,0.517,4.009,7.408,1.168,0.867,0.32
0.6,1.256,1.107,0.472,4.01,7.305,0.882,1.041,-0.499
0.6,1.234,1.147,0.368,4.048,7.37,0.93,1.002,-4.116
0.6,1.319,1.26,0.295,4.32,7.731,1.047,0.996,3.594
0.6,1.398,1.07,0.644,4.005,7.436,1.307,0.904,-0.597
0.6,1.263,1.208,0.29,4.049,7.547,1.045,0.964,-0.307
0.6,1.261,1.094,0.498,3.379,7.005,1.153,0.949,0.146
0.6,1.272,1.202,0.327,4.288,7.569,0.945,1.022,0.497
0.6,1.231,0.977,0.609,3.423,6.912,1.26,1.061,-2.262
0.7,1.347,1.232,0.404,4.736,7.94,1.093,1.024,2.175
0.7,1.299,1.265,0.227,4.814,7.942,0.974,0.948,0.093
0.7,1.348,1.141,0.533,4.032,7.51,0.846,0.981,-1.819
0.7,1.34,1.176,0.479,4.475,7.73,0.878,1.153,-0.029
0.7,1.304,1.211,0.372,4.395,7.734,0.928,1.105,-0.409
0.7,1.386,1.164,0.542,4.417,7.743,1.19,0.92,-0.33
0.7,1.316,1.067,0.584,3.599,7.168,0.811,1.201,-0.1
0.7,1.364,1.282,0.343,4.771,8.032,1.064,0.978,-0.408
0.7,1.301,1.098,0.536,3.895,7.297,1.185,0.846,-0.081
0.7,1.284,1.207,0.341,4.141,7.544,1.064,0.956,-0.46
0.7,1.294,1.097,0.53,3.839,7.362,0.848,1.051,0.497
0.7,1.312,1.246,0.312,4.504,7.846,0.95,1.075,-0.301
0.7,1.311,1.269,0.253,4.539,7.857,1.034,0.968,-0.159
0.7,1.301,1.264,0.236,4.627,7.908,0.972,1.026,0.254
0.7,1.31,1.18,0.433,4.472,7.779,1.11,0.861,-0.164
0.7,1.302,1.199,0.39,4.225,7.625,0.921,1.024,0.062
0.7,1.255,1.11,0.466,3.869,7.265,0.885,1.006,3.589
0.7,1.294,1.204,0.367,4.494,7.707,0.93,1.097,-0.124
0.7,1.327,1.164,0.48,4.37,7.695,1.14,0.871,-0.076
0.7,1.199,1.165,0.236,3.856,7.235,1.029,1.018,0.051
0.7,1.267,1.198,0.325,4.1,7.54,0.946,1.101,-0.196
0.7,1.302,1.175,0.43,4.397,7.66,1.108,0.971,-0.492
