true_angle,mean_x,mean_y,std_x,std_y,skew_x,skew_y,kurt_x,kurt_y,mean_distance,max_distance,hull_area,hull_perimeter
1.8,3.375,0.141,0.478,0.663,-0.024,-0.142,0.184,-0.816,1.002,2.544,4.117,7.006
1.8,3.308,-0.121,0.527,0.51,0.184,0.256,0.25,-0.049,0.899,2.689,4.696,7.018
1.8,3.355,-0.122,0.451,0.546,0.028,-0.398,0.395,-0.11,0.866,2.639,3.892,5.62
1.8,3.353,0.01,0.546,0.618,0.102,-0.064,-0.41,-0.476,1.031,2.601,4.384,6.551
1.8,3.393,-0.035,0.476,0.555,0.044,0.201,0.911,0.137,0.896,2.609,4.666,6.603
1.8,3.304,-0.033,0.512,0.55,-0.009,-0.085,0.219,-0.526,0.927,2.599,4.02,7.045
1.8,3.512,0.05,0.581,0.588,-0.154,-0.128,-0.313,-0.213,1.031,2.687,4.956,7.867
1.9,3.384,-0.032,0.557,0.633,-0.13,-0.411,-0.813,-0.54,1.047,2.565,4.281,7.404
1.9,3.304,0.009,0.574,0.552,-0.082,-0.012,-0.3,-0.139,0.995,2.645,4.203,7.548
1.9,3.472,0.035,0.482,0.565,0.268,-0.403,0.011,-0.201,0.913,2.485,3.885,6.316
1.9,3.263,0.028,0.635,0.59,-0.099,-0.352,-0.583,0.016,1.08,2.7,4.812,6.991
1.9,3.395,-0.088,0.571,0.518,0.175,-0.04,-0.302,-0.421,0.955,2.554,4.169,6.433
1.9,3.411,-0.124,0.495,0.604,-0.216,0.38,-0.066,-0.278,0.967,2.626,3.838,7.135
1.9,3.366,0.055,0.526,0.587,0.16,0.389,0.029,-0.762,0.983,2.459,4.071,6.765
1.9,3.451,-0.134,0.61,0.585,-0.16,-0.113,-0.731,-0.261,1.054,2.64,4.768,7.097
1.9,3.286,-0.072,0.599,0.508,0.056,0.445,-0.5,0.004,0.977,2.525,4.268,6.491
1.9,3.36,-0.006,0.615,0.522,0.029,0.198,-0.756,0.193,1.001,2.638,4.337,6.829
2.0,3.407,-0.067,0.516,0.569,-0.158,0.106,-0.1,-0.539,0.957,2.643,4.135,6.782
2.0,3.423,0.076,0.532,0.512,-0.052,-0.443,-0.103,-0.035,0.906,2.502,4.002,6.435
2.0,3.403,-0.01,0.623,0.608,-0.122,0.063,-0.672,-0.659,1.097,2.637,4.651,7.206
2.0,3.397,0.09,0.542,0.565,-0.161,-0.127,-0.089,-0.288,0.975,2.683,4.685,7.382
2.0,3.455,0.052,0.592,0.509,-0.025,0.112,-0.052,0.3,0.958,2.663,4.579,7.359
2.0,3.413,0.044,0.533,0.534,0.421,0.048,-0.002,-0.05,0.933,2.545,4.158,7.166
2.0,3.432,-0.0,0.603,0.512,-0.113,-0.497,-0.175,-0.334,0.979,2.648,4.148,6.865
2.0,3.266,-0.08,0.568,0.488,0.134,-0.007,-0.279,0.173,0.923,2.676,4.215,6.712
2.0,3.42,0.02,0.604,0.438,0.014,-0.181,-0.626,0.109,0.921,2.522,3.783,6.426
2.0,3.421,-0.017,0.537,0.532,0.35,-0.249,-0.236,-0.425,0.941,2.477,3.976,6.756
2.1,3.316,-0.035,0.572,0.559,0.157,-0.093,-0.202,-0.354,0.995,2.458,4.023,7.274
2.1,3.3,-0.005,0.535,0.576,0.166,0.111,-0.072,-0.432,0.975,2.566,4.405,6.901
2.1,3.4,-0.054,0.527,0.512,-0.107,0.209,-0.505,0.282,0.909,2.623,4.092,6.341
2.1,3.334,0.022,0.555,0.581,0.11,-0.088,-0.106,-0.092,0.99,2.679,4.653,6.832
2.1,3.356,0.077,0.507,0.506,-0.233,-0.078,-0.258,-0.365,0.894,2.446,3.846,7.105
2.1,3.36,0.024,0.544,0.444,-0.017,-0.269,0.028,0.207,0.861,2.492,3.454,7.005
2.1,3.331,0.049,0.52,0.521,-0.297,0.035,-0.068,-0.127,0.897,2.596,4.355,6.532
2.1,3.369,0.027,0.566,0.622,0.05,0.057,-0.267,-0.622,1.05,2.669,4.667,6.994
2.1,3.24,0.045,0.529,0.625,-0.276,-0.184,-0.152,-0.74,1.017,2.618,4.582,6.6
2.1,3.312,-0.034,0.671,0.507,-0.102,0.199,-0.584,-0.453,1.038,2.635,4.487,7.15
2.2,3.196,-0.068,0.577,0.621,0.03,-0.038,-0.619,-0.61,1.062,2.663,4.756,7.65
2.2,3.338,-0.01,0.508,0.547,-0.086,-0.076,-0.268,-0.304,0.92,2.49,3.849,6.146
2.2,3.21,-0.04,0.584,0.521,0.164,-0.108,-0.417,-0.663,0.977,2.514,4.002,6.847
2.2,3.262,0.04,0.622,0.513,0.087,0.155,-0.626,0.172,1.002,2.611,4.346,7.408
2.2,3.319,-0.019,0.549,0.492,0.025,0.074,-0.255,0.072,0.906,2.511,3.892,6.104
2.2,3.349,-0.015,0.572,0.521,-0.028,0.151,-0.341,0.106,0.957,2.608,4.479,7.258
2.2,3.342,0.016,0.526,0.612,0.157,-0.003,-0.118,-0.454,1.005,2.692,4.952,7.11
2.2,3.358,0.035,0.517,0.568,0.024,-0.195,0.048,-0.443,0.956,2.632,4.442,6.581
